TILE,WKT
SU1236,"POLYGON((412000 136000, 413000 136000, 413000 137000, 412000 137000, 412000 136000))"
SU1237,"POLYGON((412000 137000, 413000 137000, 413000 138000, 412000 138000, 412000 137000))"
SU1238,"POLYGON((412000 138000, 413000 138000, 413000 139000, 412000 139000, 412000 138000))"
SU1239,"POLYGON((412000 139000, 413000 139000, 413000 140000, 412000 140000, 412000 139000))"
SU1330,"POLYGON((413000 130000, 414000 130000, 414000 131000, 413000 131000, 413000 130000))"
SU1331,"POLYGON((413000 131000, 414000 131000, 414000 132000, 413000 132000, 413000 131000))"
SU1332,"POLYGON((413000 132000, 414000 132000, 414000 133000, 413000 133000, 413000 132000))"
SU1333,"POLYGON((413000 133000, 414000 133000, 414000 134000, 413000 134000, 413000 133000))"
SU1334,"POLYGON((413000 134000, 414000 134000, 414000 135000, 413000 135000, 413000 134000))"
SU1335,"POLYGON((413000 135000, 414000 135000, 414000 136000, 413000 136000, 413000 135000))"
SU1336,"POLYGON((413000 136000, 414000 136000, 414000 137000, 413000 137000, 413000 136000))"
SU1337,"POLYGON((413000 137000, 414000 137000, 414000 138000, 413000 138000, 413000 137000))"
SU1338,"POLYGON((413000 138000, 414000 138000, 414000 139000, 413000 139000, 413000 138000))"
SU1339,"POLYGON((413000 139000, 414000 139000, 414000 140000, 413000 140000, 413000 139000))"
SU1430,"POLYGON((414000 130000, 415000 130000, 415000 131000, 414000 131000, 414000 130000))"
SU1431,"POLYGON((414000 131000, 415000 131000, 415000 132000, 414000 132000, 414000 131000))"
SU1432,"POLYGON((414000 132000, 415000 132000, 415000 133000, 414000 133000, 414000 132000))"
SU1433,"POLYGON((414000 133000, 415000 133000, 415000 134000, 414000 134000, 414000 133000))"
SU1435,"POLYGON((414000 135000, 415000 135000, 415000 136000, 414000 136000, 414000 135000))"
SU1436,"POLYGON((414000 136000, 415000 136000, 415000 137000, 414000 137000, 414000 136000))"
SU1437,"POLYGON((414000 137000, 415000 137000, 415000 138000, 414000 138000, 414000 137000))"
SU1438,"POLYGON((414000 138000, 415000 138000, 415000 139000, 414000 139000, 414000 138000))"
SU1439,"POLYGON((414000 139000, 415000 139000, 415000 140000, 414000 140000, 414000 139000))"
SU1530,"POLYGON((415000 130000, 416000 130000, 416000 131000, 415000 131000, 415000 130000))"
SU1531,"POLYGON((415000 131000, 416000 131000, 416000 132000, 415000 132000, 415000 131000))"
SU1532,"POLYGON((415000 132000, 416000 132000, 416000 133000, 415000 133000, 415000 132000))"
SU1533,"POLYGON((415000 133000, 416000 133000, 416000 134000, 415000 134000, 415000 133000))"
SU1537,"POLYGON((415000 137000, 416000 137000, 416000 138000, 415000 138000, 415000 137000))"
SU1538,"POLYGON((415000 138000, 416000 138000, 416000 139000, 415000 139000, 415000 138000))"
SU1539,"POLYGON((415000 139000, 416000 139000, 416000 140000, 415000 140000, 415000 139000))"
SU1630,"POLYGON((416000 130000, 417000 130000, 417000 131000, 416000 131000, 416000 130000))"
SU1631,"POLYGON((416000 131000, 417000 131000, 417000 132000, 416000 132000, 416000 131000))"
SU1632,"POLYGON((416000 132000, 417000 132000, 417000 133000, 416000 133000, 416000 132000))"
SU1633,"POLYGON((416000 133000, 417000 133000, 417000 134000, 416000 134000, 416000 133000))"
SU1634,"POLYGON((416000 134000, 417000 134000, 417000 135000, 416000 135000, 416000 134000))"
SU1635,"POLYGON((416000 135000, 417000 135000, 417000 136000, 416000 136000, 416000 135000))"
SU1637,"POLYGON((416000 137000, 417000 137000, 417000 138000, 416000 138000, 416000 137000))"
SU1638,"POLYGON((416000 138000, 417000 138000, 417000 139000, 416000 139000, 416000 138000))"
SU1639,"POLYGON((416000 139000, 417000 139000, 417000 140000, 416000 140000, 416000 139000))"
SU1730,"POLYGON((417000 130000, 418000 130000, 418000 131000, 417000 131000, 417000 130000))"
SU1731,"POLYGON((417000 131000, 418000 131000, 418000 132000, 417000 132000, 417000 131000))"
SU1732,"POLYGON((417000 132000, 418000 132000, 418000 133000, 417000 133000, 417000 132000))"
SU1733,"POLYGON((417000 133000, 418000 133000, 418000 134000, 417000 134000, 417000 133000))"
SU1734,"POLYGON((417000 134000, 418000 134000, 418000 135000, 417000 135000, 417000 134000))"
SU1735,"POLYGON((417000 135000, 418000 135000, 418000 136000, 417000 136000, 417000 135000))"
SU1736,"POLYGON((417000 136000, 418000 136000, 418000 137000, 417000 137000, 417000 136000))"
SU1737,"POLYGON((417000 137000, 418000 137000, 418000 138000, 417000 138000, 417000 137000))"
SU1738,"POLYGON((417000 138000, 418000 138000, 418000 139000, 417000 139000, 417000 138000))"
SU1739,"POLYGON((417000 139000, 418000 139000, 418000 140000, 417000 140000, 417000 139000))"
SU1830,"POLYGON((418000 130000, 419000 130000, 419000 131000, 418000 131000, 418000 130000))"
SU1831,"POLYGON((418000 131000, 419000 131000, 419000 132000, 418000 132000, 418000 131000))"
SU1832,"POLYGON((418000 132000, 419000 132000, 419000 133000, 418000 133000, 418000 132000))"
SU1834,"POLYGON((418000 134000, 419000 134000, 419000 135000, 418000 135000, 418000 134000))"
SU1835,"POLYGON((418000 135000, 419000 135000, 419000 136000, 418000 136000, 418000 135000))"
SU1836,"POLYGON((418000 136000, 419000 136000, 419000 137000, 418000 137000, 418000 136000))"
SU1837,"POLYGON((418000 137000, 419000 137000, 419000 138000, 418000 138000, 418000 137000))"
SU1838,"POLYGON((418000 138000, 419000 138000, 419000 139000, 418000 139000, 418000 138000))"
SU1839,"POLYGON((418000 139000, 419000 139000, 419000 140000, 418000 140000, 418000 139000))"
SU1935,"POLYGON((419000 135000, 420000 135000, 420000 136000, 419000 136000, 419000 135000))"
SU1936,"POLYGON((419000 136000, 420000 136000, 420000 137000, 419000 137000, 419000 136000))"
SU1937,"POLYGON((419000 137000, 420000 137000, 420000 138000, 419000 138000, 419000 137000))"
SU1938,"POLYGON((419000 138000, 420000 138000, 420000 139000, 419000 139000, 419000 138000))"
SU1939,"POLYGON((419000 139000, 420000 139000, 420000 140000, 419000 140000, 419000 139000))"
SU2418,"POLYGON((424000 118000, 425000 118000, 425000 119000, 424000 119000, 424000 118000))"
SU2419,"POLYGON((424000 119000, 425000 119000, 425000 120000, 424000 120000, 424000 119000))"
SU2518,"POLYGON((425000 118000, 426000 118000, 426000 119000, 425000 119000, 425000 118000))"
SU2519,"POLYGON((425000 119000, 426000 119000, 426000 120000, 425000 120000, 425000 119000))"
SU2618,"POLYGON((426000 118000, 427000 118000, 427000 119000, 426000 119000, 426000 118000))"
SU2619,"POLYGON((426000 119000, 427000 119000, 427000 120000, 426000 120000, 426000 119000))"
SU2020,"POLYGON((420000 120000, 421000 120000, 421000 121000, 420000 121000, 420000 120000))"
SU2021,"POLYGON((420000 121000, 421000 121000, 421000 122000, 420000 122000, 420000 121000))"
SU2022,"POLYGON((420000 122000, 421000 122000, 421000 123000, 420000 123000, 420000 122000))"
SU2023,"POLYGON((420000 123000, 421000 123000, 421000 124000, 420000 124000, 420000 123000))"
SU2024,"POLYGON((420000 124000, 421000 124000, 421000 125000, 420000 125000, 420000 124000))"
SU2025,"POLYGON((420000 125000, 421000 125000, 421000 126000, 420000 126000, 420000 125000))"
SU2026,"POLYGON((420000 126000, 421000 126000, 421000 127000, 420000 127000, 420000 126000))"
SU2027,"POLYGON((420000 127000, 421000 127000, 421000 128000, 420000 128000, 420000 127000))"
SU2028,"POLYGON((420000 128000, 421000 128000, 421000 129000, 420000 129000, 420000 128000))"
SU2029,"POLYGON((420000 129000, 421000 129000, 421000 130000, 420000 130000, 420000 129000))"
SU2120,"POLYGON((421000 120000, 422000 120000, 422000 121000, 421000 121000, 421000 120000))"
SU2121,"POLYGON((421000 121000, 422000 121000, 422000 122000, 421000 122000, 421000 121000))"
SU2122,"POLYGON((421000 122000, 422000 122000, 422000 123000, 421000 123000, 421000 122000))"
SU2123,"POLYGON((421000 123000, 422000 123000, 422000 124000, 421000 124000, 421000 123000))"
SU2124,"POLYGON((421000 124000, 422000 124000, 422000 125000, 421000 125000, 421000 124000))"
SU2125,"POLYGON((421000 125000, 422000 125000, 422000 126000, 421000 126000, 421000 125000))"
SU2126,"POLYGON((421000 126000, 422000 126000, 422000 127000, 421000 127000, 421000 126000))"
SU2127,"POLYGON((421000 127000, 422000 127000, 422000 128000, 421000 128000, 421000 127000))"
SU2128,"POLYGON((421000 128000, 422000 128000, 422000 129000, 421000 129000, 421000 128000))"
SU2129,"POLYGON((421000 129000, 422000 129000, 422000 130000, 421000 130000, 421000 129000))"
SU2420,"POLYGON((424000 120000, 425000 120000, 425000 121000, 424000 121000, 424000 120000))"
SU2421,"POLYGON((424000 121000, 425000 121000, 425000 122000, 424000 122000, 424000 121000))"
SU2422,"POLYGON((424000 122000, 425000 122000, 425000 123000, 424000 123000, 424000 122000))"
SU2423,"POLYGON((424000 123000, 425000 123000, 425000 124000, 424000 124000, 424000 123000))"
SU2424,"POLYGON((424000 124000, 425000 124000, 425000 125000, 424000 125000, 424000 124000))"
SU2425,"POLYGON((424000 125000, 425000 125000, 425000 126000, 424000 126000, 424000 125000))"
SU2426,"POLYGON((424000 126000, 425000 126000, 425000 127000, 424000 127000, 424000 126000))"
SU2520,"POLYGON((425000 120000, 426000 120000, 426000 121000, 425000 121000, 425000 120000))"
SU2521,"POLYGON((425000 121000, 426000 121000, 426000 122000, 425000 122000, 425000 121000))"
SU2522,"POLYGON((425000 122000, 426000 122000, 426000 123000, 425000 123000, 425000 122000))"
SU2523,"POLYGON((425000 123000, 426000 123000, 426000 124000, 425000 124000, 425000 123000))"
SU2524,"POLYGON((425000 124000, 426000 124000, 426000 125000, 425000 125000, 425000 124000))"
SU2525,"POLYGON((425000 125000, 426000 125000, 426000 126000, 425000 126000, 425000 125000))"
SU2526,"POLYGON((425000 126000, 426000 126000, 426000 127000, 425000 127000, 425000 126000))"
SU2620,"POLYGON((426000 120000, 427000 120000, 427000 121000, 426000 121000, 426000 120000))"
SU2621,"POLYGON((426000 121000, 427000 121000, 427000 122000, 426000 122000, 426000 121000))"
SU2622,"POLYGON((426000 122000, 427000 122000, 427000 123000, 426000 123000, 426000 122000))"
SU2623,"POLYGON((426000 123000, 427000 123000, 427000 124000, 426000 124000, 426000 123000))"
SU2624,"POLYGON((426000 124000, 427000 124000, 427000 125000, 426000 125000, 426000 124000))"
SU2625,"POLYGON((426000 125000, 427000 125000, 427000 126000, 426000 126000, 426000 125000))"
SU2626,"POLYGON((426000 126000, 427000 126000, 427000 127000, 426000 127000, 426000 126000))"
