TILE,WKT
SU0921,"POLYGON((409000 121000, 410000 121000, 410000 122000, 409000 122000, 409000 121000))"
SU0922,"POLYGON((409000 122000, 410000 122000, 410000 123000, 409000 123000, 409000 122000))"
SU0923,"POLYGON((409000 123000, 410000 123000, 410000 124000, 409000 124000, 409000 123000))"
SU0925,"POLYGON((409000 125000, 410000 125000, 410000 126000, 409000 126000, 409000 125000))"
SU0926,"POLYGON((409000 126000, 410000 126000, 410000 127000, 409000 127000, 409000 126000))"
SU0927,"POLYGON((409000 127000, 410000 127000, 410000 128000, 409000 128000, 409000 127000))"
SU0928,"POLYGON((409000 128000, 410000 128000, 410000 129000, 409000 129000, 409000 128000))"
SU0929,"POLYGON((409000 129000, 410000 129000, 410000 130000, 409000 130000, 409000 129000))"
SU1010,"POLYGON((410000 110000, 411000 110000, 411000 111000, 410000 111000, 410000 110000))"
SU1011,"POLYGON((410000 111000, 411000 111000, 411000 112000, 410000 112000, 410000 111000))"
SU1012,"POLYGON((410000 112000, 411000 112000, 411000 113000, 410000 113000, 410000 112000))"
SU1013,"POLYGON((410000 113000, 411000 113000, 411000 114000, 410000 114000, 410000 113000))"
SU1014,"POLYGON((410000 114000, 411000 114000, 411000 115000, 410000 115000, 410000 114000))"
SU1015,"POLYGON((410000 115000, 411000 115000, 411000 116000, 410000 116000, 410000 115000))"
SU1016,"POLYGON((410000 116000, 411000 116000, 411000 117000, 410000 117000, 410000 116000))"
SU1017,"POLYGON((410000 117000, 411000 117000, 411000 118000, 410000 118000, 410000 117000))"
SU1018,"POLYGON((410000 118000, 411000 118000, 411000 119000, 410000 119000, 410000 118000))"
SU1019,"POLYGON((410000 119000, 411000 119000, 411000 120000, 410000 120000, 410000 119000))"
SU1110,"POLYGON((411000 110000, 412000 110000, 412000 111000, 411000 111000, 411000 110000))"
SU1111,"POLYGON((411000 111000, 412000 111000, 412000 112000, 411000 112000, 411000 111000))"
SU1112,"POLYGON((411000 112000, 412000 112000, 412000 113000, 411000 113000, 411000 112000))"
SU1113,"POLYGON((411000 113000, 412000 113000, 412000 114000, 411000 114000, 411000 113000))"
SU1114,"POLYGON((411000 114000, 412000 114000, 412000 115000, 411000 115000, 411000 114000))"
SU1115,"POLYGON((411000 115000, 412000 115000, 412000 116000, 411000 116000, 411000 115000))"
SU1116,"POLYGON((411000 116000, 412000 116000, 412000 117000, 411000 117000, 411000 116000))"
SU1117,"POLYGON((411000 117000, 412000 117000, 412000 118000, 411000 118000, 411000 117000))"
SU1118,"POLYGON((411000 118000, 412000 118000, 412000 119000, 411000 119000, 411000 118000))"
SU1119,"POLYGON((411000 119000, 412000 119000, 412000 120000, 411000 120000, 411000 119000))"
SU1210,"POLYGON((412000 110000, 413000 110000, 413000 111000, 412000 111000, 412000 110000))"
SU1211,"POLYGON((412000 111000, 413000 111000, 413000 112000, 412000 112000, 412000 111000))"
SU1212,"POLYGON((412000 112000, 413000 112000, 413000 113000, 412000 113000, 412000 112000))"
SU1213,"POLYGON((412000 113000, 413000 113000, 413000 114000, 412000 114000, 412000 113000))"
SU1214,"POLYGON((412000 114000, 413000 114000, 413000 115000, 412000 115000, 412000 114000))"
SU1215,"POLYGON((412000 115000, 413000 115000, 413000 116000, 412000 116000, 412000 115000))"
SU1216,"POLYGON((412000 116000, 413000 116000, 413000 117000, 412000 117000, 412000 116000))"
SU1217,"POLYGON((412000 117000, 413000 117000, 413000 118000, 412000 118000, 412000 117000))"
SU1218,"POLYGON((412000 118000, 413000 118000, 413000 119000, 412000 119000, 412000 118000))"
SU1219,"POLYGON((412000 119000, 413000 119000, 413000 120000, 412000 120000, 412000 119000))"
SU1310,"POLYGON((413000 110000, 414000 110000, 414000 111000, 413000 111000, 413000 110000))"
SU1311,"POLYGON((413000 111000, 414000 111000, 414000 112000, 413000 112000, 413000 111000))"
SU1312,"POLYGON((413000 112000, 414000 112000, 414000 113000, 413000 113000, 413000 112000))"
SU1313,"POLYGON((413000 113000, 414000 113000, 414000 114000, 413000 114000, 413000 113000))"
SU1314,"POLYGON((413000 114000, 414000 114000, 414000 115000, 413000 115000, 413000 114000))"
SU1315,"POLYGON((413000 115000, 414000 115000, 414000 116000, 413000 116000, 413000 115000))"
SU1316,"POLYGON((413000 116000, 414000 116000, 414000 117000, 413000 117000, 413000 116000))"
SU1317,"POLYGON((413000 117000, 414000 117000, 414000 118000, 413000 118000, 413000 117000))"
SU1318,"POLYGON((413000 118000, 414000 118000, 414000 119000, 413000 119000, 413000 118000))"
SU1319,"POLYGON((413000 119000, 414000 119000, 414000 120000, 413000 120000, 413000 119000))"
SU1410,"POLYGON((414000 110000, 415000 110000, 415000 111000, 414000 111000, 414000 110000))"
SU1411,"POLYGON((414000 111000, 415000 111000, 415000 112000, 414000 112000, 414000 111000))"
SU1412,"POLYGON((414000 112000, 415000 112000, 415000 113000, 414000 113000, 414000 112000))"
SU1413,"POLYGON((414000 113000, 415000 113000, 415000 114000, 414000 114000, 414000 113000))"
SU1414,"POLYGON((414000 114000, 415000 114000, 415000 115000, 414000 115000, 414000 114000))"
SU1415,"POLYGON((414000 115000, 415000 115000, 415000 116000, 414000 116000, 414000 115000))"
SU1416,"POLYGON((414000 116000, 415000 116000, 415000 117000, 414000 117000, 414000 116000))"
SU1417,"POLYGON((414000 117000, 415000 117000, 415000 118000, 414000 118000, 414000 117000))"
SU1418,"POLYGON((414000 118000, 415000 118000, 415000 119000, 414000 119000, 414000 118000))"
SU1419,"POLYGON((414000 119000, 415000 119000, 415000 120000, 414000 120000, 414000 119000))"
SU1510,"POLYGON((415000 110000, 416000 110000, 416000 111000, 415000 111000, 415000 110000))"
SU1511,"POLYGON((415000 111000, 416000 111000, 416000 112000, 415000 112000, 415000 111000))"
SU1512,"POLYGON((415000 112000, 416000 112000, 416000 113000, 415000 113000, 415000 112000))"
SU1513,"POLYGON((415000 113000, 416000 113000, 416000 114000, 415000 114000, 415000 113000))"
SU1514,"POLYGON((415000 114000, 416000 114000, 416000 115000, 415000 115000, 415000 114000))"
SU1515,"POLYGON((415000 115000, 416000 115000, 416000 116000, 415000 116000, 415000 115000))"
SU1516,"POLYGON((415000 116000, 416000 116000, 416000 117000, 415000 117000, 415000 116000))"
SU1517,"POLYGON((415000 117000, 416000 117000, 416000 118000, 415000 118000, 415000 117000))"
SU1518,"POLYGON((415000 118000, 416000 118000, 416000 119000, 415000 119000, 415000 118000))"
SU1519,"POLYGON((415000 119000, 416000 119000, 416000 120000, 415000 120000, 415000 119000))"
SU1610,"POLYGON((416000 110000, 417000 110000, 417000 111000, 416000 111000, 416000 110000))"
SU1611,"POLYGON((416000 111000, 417000 111000, 417000 112000, 416000 112000, 416000 111000))"
