StationName,ETRS89_X,ETRS89_Y,ETRS89_Z,ETRS89_Lat_NS,ETRS89_Lat_Deg,ETRS89_Lat_Min,ETRS89_Lat_Sec,ETRS89_Long_EW,ETRS89_Long_Deg,ETRS89_Long_Min,ETRS89_Long_Sec,ETRS89_Height,ETRS89_East,ETRS89_North,OSGB36_East,OSGB36_North,OSGB36_Lat_NS,OSGB36_Lat_Deg,OSGB36_Lat_Min,OSGB36_Lat_Sec,OSGB36_Long_EW,OSGB36_Long_Deg,OSGB36_Long_Min,OSGB36_Long_Sec,ODN_Height,Geoid Model ID Flag
SUM1,3210451.815,-71446.474,5492461.353,N,59,51,14.756913,W,001,16,29.528804,149.890,440623.592,1107930.781,440725.061,1107878.445,N,59,51,16.528918,W,001,16,22.710797,100.991,6
THUR,3325995.950,-216616.239,5419847.802,N,58,34,52.336612,W,003,43,34.716767,98.634,299624.627,967256.596,299721.879,967202.990,N,58,34,53.757050,W,003,43,29.377134,46.011,1
Scilly,4089702.080,-451491.240,4857303.232,N,49,55,20.150196,W,006,17,59.199098,100.000,91400.000,11400.000,91492.135,11318.801,N,49,55,17.958515,W,006,17,55.881697,46.882,2
Outside#1,3802156.959,-322682.729,5093772.846,N,53,20,49.312599,W,004,51,03.503091,100.000,210230.000,387210.000,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon
Outside#2,3555641.346,-147489.495,5275415.754,N,56,10,31.115299,W,002,22,31.048596,100.000,376700.000,698200.000,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon,N/A point outside polygon
StKilda,3367610.286,-508013.342,5374787.514,N,57,48,48.666318,W,008,34,42.760597,100.000,9500.003,899499.996,9587.897,899448.993,N,57,48,50.048305,W,008,34,40.009652,43.424,5
Flannan,3338502.365,-445009.839,5398369.212,N,58,12,45.440933,W,007,35,33.200272,140.404,71622.450,938567.303,71713.120,938516.401,N,58,12,46.943850,W,007,35,29.857604,83.594,9
NorthRona,3266950.840,-333457.471,5449598.059,N,59,05,48.178240,W,005,49,40.776272,140.716,180766.824,1029654.639,180862.449,1029604.111,N,59,05,49.946615,W,005,49,36.319799,85.197,10
SuleSkerry,3274468.663,-252967.119,5449370.544,N,59,05,36.061263,W,004,25,03.276270,100.000,261500.000,1025500.000,261596.767,1025447.599,N,59,05,37.718360,W,004,24,58.169580,46.347,11
Foula,3182239.860,-115231.913,5507997.742,N,60,07,59.091315,W,002,04,25.781605,140.716,395898.578,1138780.346,395999.656,1138728.948,N,60,08,01.027253,W,002,04,19.261396,89.901,12
FairIsle,3240638.005,-91943.935,5474462.629,N,59,32,04.948596,W,001,37,30.610770,100.000,421200.000,1072200.000,421300.513,1072147.236,N,59,32,06.618433,W,001,37,24.060380,50.951,8
Orkney,3284392.098,-184462.127,5446168.754,N,59,02,14.779356,W,003,12,52.344038,100.000,330300.000,1017400.000,330398.311,1017347.013,N,59,02,16.350482,W,003,12,46.662990,47.978,7
Ork_Main(Ork),3315164.034,-178029.825,5427830.921,N,58,43,08.173859,W,003,04,26.133727,100.000,337800.000,981800.000,337898.195,981746.359,N,58,43,09.611724,W,003,04,20.455107,48.631,7
Ork_Main(Main),3314759.278,-181719.108,5427955.021,N,58,43,15.898312,W,003,08,16.378343,100.000,334100.000,982100.000,334198.101,982046.419,N,58,43,17.341600,W,003,08,10.730716,48.439,1
